Actual,Predicted,Error
653,653.0,0.0
645,645.0,0.0
532,532.0,0.0
561,561.0,0.0
567,567.0,0.0
506,506.0,0.0
488,488.0,0.0
435,435.0,0.0
430,430.0,0.0
398,397.99999999999994,-5.684341886080802e-14
413,413.0,0.0
407,407.0,0.0
353,353.0,0.0
330,330.0,0.0
387,387.0,0.0
456,456.0,0.0
450,450.0,0.0
446,446.0,0.0
475,475.0,0.0
480,480.0,0.0
484,484.0,0.0
488,488.0,0.0
494,494.0,0.0
501,501.0,0.0
548,471.3774710848468,-76.62252891515323
554,534.9724288359821,-19.0275711640179
558,537.1147072550499,-20.885292744950107
562,538.8757461806591,-23.12425381934088
550,559.0375561788838,9.037556178883847
540,574.0909948495732,34.090994849573235
529,574.9509303988416,45.95093039884159
513,563.4234739891008,50.423473989100785
449,560.7294171093258,111.72941710932582
435,526.0418480150659,91.04184801506585
422,501.9336362762816,79.93363627628162
409,475.9663511288804,66.96635112888038
403,444.492509503915,41.49250950391502
404,434.54369708623227,30.54369708623227
402,429.9384221037622,27.938422103762207
402,435.9314623479288,33.9314623479288
400,420.678816273767,20.678816273766984
398,402.0810433465477,4.081043346547688
393,371.953720753066,-21.046279246933977
387,348.9610156612617,-38.03898433873832
382,341.84975649743956,-40.15024350256044
376,333.76433276854095,-42.23566723145905
370,328.27766886145207,-41.72233113854793
364,322.55290170557987,-41.44709829442013
309,327.38720137990936,18.387201379909357
271,311.79269826725874,40.79269826725874
208,297.6340241726367,89.63402417263671
142,270.20632992656266,128.20632992656266
103,237.20178962239385,134.20178962239385
101,196.94649397058484,95.94649397058484
101,181.1546668431007,80.1546668431007
101,172.5452722725659,71.54527227256591
101,146.73519309500358,45.73519309500358
101,132.52434985808543,31.52434985808543
98,102.6887875941353,4.688787594135306
90,74.90988318201943,-15.090116817980572
92,58.91150850790344,-33.08849149209656
95,47.494289562980505,-47.505710437019495
96,45.73353168577941,-50.26646831422059
97,53.15956846250321,-43.84043153749679
99,58.733560311323345,-40.266439688676655
107,66.3486372315185,-40.651362768481505
122,72.43280160388873,-49.567198396111266
135,92.59940443416957,-42.40059556583043
149,123.80507104329979,-25.19492895670021
162,146.0667194470834,-15.933280552916614
181,172.15676786971113,-8.843232130288868
205,188.437812800865,-16.562187199134996
233,193.8881151619147,-39.1118848380853
256,200.5424755511917,-55.4575244488083
277,204.92446963920528,-72.07553036079472
