Actual,Predicted,Error
22.93,22.93,0
15.46,15.46,0
12.61,12.61,0
12.84,12.84,0
15.38,15.38,0
13.43,13.43,0
11.59,11.59,0
15.1,15.1,0
14.87,14.87,0
14.9,14.9,0
15.22,15.22,0
16.11,16.11,0
18.65,17.46180496,1.188195042
17.75,20.64395662,-2.893956621
18.3,18.98518794,-0.68518794
18.68,19.90030968,-1.220309677
19.44,20.13028035,-0.690280347
20.07,20.91281013,-0.842810135
21.34,21.34277947,-0.002779471
20.31,22.76999156,-2.459991563
19.53,21.50842168,-1.978421682
19.86,20.83523109,-0.975231088
18.85,21.23357717,-2.383577169
17.28,19.68047499,-2.400474986
17.13,18.00180181,-0.871801806
16.8,18.29591707,-1.49591707
16.2,17.86540778,-1.665407785
17.86,17.26832697,0.591673034
17.42,19.47974341,-2.059743408
16.53,18.60564704,-2.075647037
15.5,17.70941696,-2.20941696
15.52,16.62282227,-1.102822273
14.54,16.62190561,-2.081905614
13.77,15.31639042,-1.546390418
14.14,14.72696877,-0.586968768
16.38,15.41323792,0.966762076
18.02,18.10409885,-0.084098851
17.94,19.76643785,-1.82643785
19.48,19.43429963,0.045700374
21.07,21.33246365,-0.262463654
20.12,22.79629266,-2.676292663
20.05,21.17268393,-1.122683928
19.78,21.26639494,-1.486394937
18.58,20.86657355,-2.286573549
19.59,19.48880082,0.101199177
20.1,21.02429487,-0.924294875
19.86,21.40795547,-1.547955471
21.1,21.10955057,-0.00955057
22.86,22.84458794,0.015412065
22.11,24.6406566,-2.530656605
20.39,23.24395212,-2.853952124
18.43,21.35815077,-2.928150766
18.2,19.23037267,-1.030372669
16.7,19.11888867,-2.418888672
18.45,17.30321561,1.146784393
27.31,19.92777161,7.382228386
33.51,30.52365151,2.986348491
36.04,36.99150829,-0.951508294
32.33,39.24554739,-6.915547392
27.28,33.97939209,-6.699392089
25.23,28.05991314,-2.829913137
20.48,25.69998202,-5.21998202
19.9,19.67578634,0.224213657
20.83,20.14213474,0.68786526
21.23,22.07116281,-0.841162812
20.19,23.05391337,-2.863913375
21.4,21.88768671,-0.487686711
21.69,23.40179566,-1.711795661
21.89,22.99458395,-1.104583952
23.23,22.97262054,0.25737946
22.46,24.63951648,-2.17951648
19.5,23.53705177,-4.037051768
18.79,20.18985011,-1.399850109
19.01,19.99507598,-0.985075978
18.92,20.04391395,-1.123913947
20.23,19.8629574,0.367042599
20.98,21.77293956,-0.792939565
22.39,22.59011416,-0.200114157
21.78,24.20588028,-2.425880284
21.34,23.12209817,-1.782098165
21.88,22.537305,-0.657305003
21.69,23.07156435,-1.381564352
20.34,22.74580039,-2.405800393
19.41,21.25422363,-1.844223626
19.03,20.43322587,-1.403225868
20.09,20.13160246,-0.041602456
20.32,21.46406377,-1.144063773
20.25,21.56565265,-1.315652646
19.95,21.58113479,-1.631134794
19.09,21.27025601,-2.180256013
17.89,20.21731321,-2.327313211
18.01,18.74024879,-0.730248793
17.5,19.02108739,-1.521087387
18.15,18.44922603,-0.299226025
16.61,19.53667629,-2.926676286
14.52,17.60063254,-3.080632542
15.03,15.38773049,-0.35773049
14.78,16.32827832,-1.548278323
14.68,15.754115,-1.074115001
16.42,15.75712604,0.662873955
17.89,18.05912088,-0.16912088
19.06,19.59611591,-0.536115908
19.66,20.80404078,-1.144040782
18.38,21.2538383,-2.873838302
17.45,19.43278911,-1.982789112
17.72,18.42561571,-0.705615713
18.07,18.84275763,-0.772757627
17.16,19.15952552,-1.999525524
18.04,18.14950211,-0.109502108
18.57,19.67023405,-1.100234046
18.54,20.06972114,-1.529721143
19.9,19.83116535,0.068834652
19.74,21.4810972,-1.741097202
18.45,20.95152616,-2.501526164
17.33,19.47105153,-2.141051534
18.02,18.37381271,-0.353812715
18.23,19.2667449,-1.036744905
17.43,19.31714665,-1.887146649
17.99,18.50810593,-0.51810593
19.03,19.51228919,-0.48228919
18.86,20.57355403,-1.713554033
19.09,20.12049317,-1.030493166
21.33,20.42495694,0.90504306
23.5,23.03938703,0.460612969
21.17,25.28841855,-4.118418551
20.42,22.17960348,-1.759603482
21.3,21.86678707,-0.566787066
21.9,22.76639456,-0.866394565
23.97,23.05734872,0.912651282
24.88,25.5526538,-0.672653803
23.71,26.46540799,-2.755407988
25.23,25.08484971,0.145150292
25.13,27.30717447,-2.177174467
22.18,26.43857776,-4.258577764
20.97,22.57197638,-1.601976378
19.7,21.78199588,-2.081995877
20.82,20.45963498,0.360365017
19.26,22.05281341,-2.792813414
19.66,20.10933919,-0.449339187
19.95,21.18507196,-1.235071958
19.8,21.38652983,-1.58652983
21.33,21.07583378,0.254166223
20.19,22.87991578,-2.689915777
18.33,21.11359667,-2.78359667
16.72,19.25190966,-2.531909658
16.06,17.64382161,-1.583821607
15.12,16.91596484,-1.79596484
15.35,15.81392701,-0.463927015
14.91,16.44060015,-1.530600155
13.72,16.10154543,-2.381545426
14.17,14.81935863,-0.649358633
13.47,15.62847536,-2.158475356
15.03,14.46292389,0.567076108
14.46,16.44838758,-1.98838758
13,15.59049376,-2.590493758
11.35,14.049774,-2.699774002
12.52,12.28419774,0.235802256
12.01,13.87896655,-1.868966551
14.68,12.93748109,1.742518913
17.31,16.47748202,0.832517977
17.72,19.32962729,-1.609627294
17.92,19.45491576,-1.534915759
20.1,19.63837299,0.46162701
21.28,22.03291076,-0.75291076
23.8,22.68902726,1.110972738
22.69,25.6213954,-2.931395405
25,23.91788604,1.082113957
26.1,27.15592465,-1.055924648
27.26,27.7965577,-0.5365577
29.37,28.86163515,0.508364848
29.84,31.07435574,-1.234355736
25.72,31.32838677,-5.608386772
28.79,26.32729909,2.462700907
31.82,31.1543566,0.665643397
29.7,33.73983852,-4.039838518
31.26,30.61159148,0.648408523
33.88,33.31410257,0.565897428
33.11,36.02598724,-2.915987237
34.42,34.26236033,0.157639666
28.44,36.16121312,-7.721213122
29.59,28.45226628,1.137733722
29.61,31.3725921,-1.762592099
27.25,30.87022128,-3.620221278
27.49,27.79154954,-0.301549541
28.63,28.50339711,0.126602887
27.6,30.05792379,-2.457923794
26.43,28.76526776,-2.335267757
27.37,27.55233169,-0.182331686
26.2,28.87986051,-2.679860512
22.17,27.04666078,-4.87666078
19.64,22.36129348,-2.721293478
19.39,20.2419519,-0.851951897
19.72,20.18571573,-0.465715731
20.72,20.68535226,0.034647742
24.53,22.1492069,2.3807931
26.18,26.79988111,-0.619881111
27.04,28.21707438,-1.177074385
25.52,29.05797791,-3.537977912
26.97,26.71694699,0.253053014
28.39,28.44547419,-0.055474191
29.66,29.69399662,-0.033996615
28.84,31.14653413,-2.306534131
26.35,30.10718844,-3.757188438
29.46,27.36259776,2.097402237
32.95,31.72793052,1.22206948
35.83,34.93810675,0.891893251
33.51,37.81585366,-4.30585366
28.17,34.79004624,-6.620046242
28.11,28.87659751,-0.766597507
30.66,29.82976566,0.830234344
30.76,32.09149047,-1.331490467
31.57,31.75259818,-0.182598177
28.31,33.27774525,-4.967745249
30.34,29.38390266,0.95609734
31.11,32.71660126,-1.606601257
32.13,32.56971159,-0.439711595
34.31,33.3464449,0.963555104
34.69,35.94774895,-1.257748951
36.74,36.34582058,0.394179421
36.75,38.88597883,-2.135978835
40.28,38.17296748,2.107032518
