,value,date
0,31.37,Jan-04
1,31.33,Feb-04
2,33.67,Mar-04
3,33.71,Apr-04
4,37.56,May-04
5,35.54,Jun-04
6,37.89,Jul-04
7,42.08,Aug-04
8,41.6,Sep-04
9,46.88,Oct-04
10,42.13,Nov-04
11,39.04,Dec-04
12,42.97,Jan-05
13,44.82,Feb-05
14,50.94,Mar-05
15,50.64,Apr-05
16,47.83,May-05
17,53.89,Jun-05
18,56.37,Jul-05
19,61.89,Aug-05
20,61.69,Sep-05
21,58.19,Oct-05
22,55.04,Nov-05
23,56.43,Dec-05
24,62.46,Jan-06
25,59.7,Feb-06
26,60.93,Mar-06
27,67.97,Apr-06
28,68.68,May-06
29,68.29,Jun-06
30,72.45,Jul-06
31,71.81,Aug-06
32,62.12,Sep-06
33,57.91,Oct-06
34,58.14,Nov-06
35,60.99,Dec-06
36,53.52,Jan-07
37,57.56,Feb-07
38,60.6,Mar-07
39,65.06,Apr-07
40,65.16,May-07
41,68.19,Jun-07
42,73.6,Jul-07
43,70.13,Aug-07
44,76.76,Sep-07
45,81.97,Oct-07
46,91.34,Nov-07
47,89.52,Dec-07
48,90.69,Jan-08
49,93.39,Feb-08
50,101.84,Mar-08
51,108.76,Apr-08
52,122.63,May-08
53,131.52,Jun-08
54,132.83,Jul-08
55,114.57,Aug-08
56,99.66,Sep-08
57,72.69,Oct-08
58,53.97,Nov-08
59,41.34,Dec-08
60,43.86,Jan-09
61,41.84,Feb-09
62,46.65,Mar-09
63,50.28,Apr-09
64,58.15,May-09
65,69.15,Jun-09
66,64.67,Jul-09
67,71.63,Aug-09
68,68.35,Sep-09
69,74.08,Oct-09
70,77.55,Nov-09
71,74.88,Dec-09
72,77.12,Jan-10
73,74.76,Feb-10
74,79.3,Mar-10
75,84.18,Apr-10
76,75.62,May-10
77,74.73,Jun-10
78,74.58,Jul-10
79,75.83,Aug-10
80,76.12,Sep-10
81,81.72,Oct-10
82,84.53,Nov-10
83,90.01,Dec-10
84,92.69,Jan-11
85,97.91,Feb-11
86,108.65,Mar-11
87,116.24,Apr-11
88,108.07,May-11
89,105.85,Jun-11
90,107.92,Jul-11
91,100.49,Aug-11
92,100.82,Sep-11
93,99.85,Oct-11
94,105.41,Nov-11
95,104.23,Dec-11
96,107.07,Jan-12
97,112.69,Feb-12
98,117.79,Mar-12
99,113.67,Apr-12
100,104.09,May-12
101,90.73,Jun-12
102,96.75,Jul-12
103,105.27,Aug-12
104,106.28,Sep-12
105,103.41,Oct-12
106,101.17,Nov-12
107,101.19,Dec-12
108,105.1,Jan-13
109,107.64,Feb-13
110,102.52,Mar-13
111,98.85,Apr-13
112,99.37,May-13
113,99.74,Jun-13
114,105.26,Jul-13
115,108.16,Aug-13
116,108.76,Sep-13
117,105.43,Oct-13
118,102.63,Nov-13
119,105.48,Dec-13
120,102.1,Jan-14
121,104.83,Feb-14
122,104.04,Mar-14
123,104.87,Apr-14
124,105.71,May-14
125,108.37,Jun-14
126,105.23,Jul-14
127,100.05,Aug-14
128,95.85,Sep-14
129,86.08,Oct-14
130,76.99,Nov-14
131,60.7,Dec-14
132,47.11,Jan-15
133,54.79,Feb-15
134,52.83,Mar-15
135,57.54,Apr-15
136,62.51,May-15
137,61.31,Jun-15
138,54.34,Jul-15
139,45.69,Aug-15
140,46.28,Sep-15
141,46.96,Oct-15
142,43.11,Nov-15
143,36.57,Dec-15
144,29.78,Jan-16
145,31.03,Feb-16
146,37.34,Mar-16
147,40.75,Apr-16
148,45.94,May-16
149,47.69,Jun-16
150,44.13,Jul-16
151,44.88,Aug-16
152,45.04,Sep-16
153,49.29,Oct-16
154,45.26,Nov-16
155,52.62,Dec-16
156,53.59,Jan-17
157,54.35,Feb-17
158,50.9,Mar-17
159,52.16,Apr-17
160,49.89,May-17
161,46.17,Jun-17
162,47.66,Jul-17
163,49.94,Aug-17
164,52.95,Sep-17
165,54.92,Oct-17
166,59.93,Nov-17
167,61.19,Dec-17
168,66.23,Jan-18
169,63.46,Feb-18
170,64.17,Mar-18
171,68.79,Apr-18
172,73.43,May-18
173,71.98,Jun-18
174,72.67,Jul-18
175,71.08,Aug-18
176,75.36,Sep-18
177,76.73,Oct-18
178,62.32,Nov-18
179,53.96,Dec-18
180,56.58,Jan-19
181,61.13,Feb-19
182,63.79,Mar-19
183,68.58,Apr-19
184,66.83,May-19
185,59.76,Jun-19
186,61.48,Jul-19
187,57.67,Aug-19
188,60.04,Sep-19
189,57.27,Oct-19
190,60.4,Nov-19
191,63.35,Dec-19
192,61.63,Jan-20
193,53.35,Feb-20
194,32.2,Mar-20
195,21.04,Apr-20
196,30.38,May-20
197,39.46,Jun-20
198,42.07,Jul-20
199,43.44,Aug-20
200,40.6,Sep-20
201,39.9,Oct-20
202,42.3,Nov-20
203,48.73,Dec-20
204,53.6,Jan-21
205,60.46,Feb-21
206,63.83,Mar-21
207,62.95,Apr-21
208,66.4,May-21
209,71.8,Jun-21
210,73.28,Jul-21
211,68.87,Aug-21
212,72.8,Sep-21
213,82.06,Oct-21
214,79.92,Nov-21
215,72.87,Dec-21
216,83.92,Jan-22
217,93.54,Feb-22
218,112.4,Mar-22
219,103.41,Apr-22
220,110.1,May-22
221,116.8,Jun-22
222,105.08,Jul-22
223,95.97,Aug-22
224,88.22,Sep-22
225,90.33,Oct-22
226,87.38,Nov-22
227,78.07,Dec-22
228,80.41,Jan-23
229,80.25,Feb-23
230,76.47,Mar-23
